symbol,name,aum,avg_daily_volume
VOO,Vanguard S&P 500 ETF,"$1,032,400,000.00","7,919,634"
IVV,iShares Core S&P 500 ETF,"$900,804,000.00","7,756,039"
SPY,State Street SPDR S&P 500 ETF,"$806,610,000.00","53,210,977"
VTI,Vanguard Morningstar Total Stock Market ETF,"$688,072,000.00","3,374,663"
QQQ,Invesco QQQ Trust Series I,"$480,221,000.00","44,419,805"
VEA,Vanguard FTSE Developed Markets ETF,"$234,962,000.00","11,160,193"
VUG,Vanguard Morningstar Growth ETF,"$228,820,000.00","7,612,339"
IEFA,iShares Core MSCI EAFE ETF,"$193,565,000.00","9,571,489"
VTV,Vanguard Morningstar Value ETF,"$191,267,000.00","2,887,999"
SPYM,State Street SPDR Portfolio S&P 500 ETF,"$167,830,000.00","12,577,180"
BND,Vanguard Total Bond Market ETF,"$161,964,000.00","8,170,614"
VXUS,Vanguard Total International Stock ETF,"$161,384,000.00","5,931,979"
IEMG,iShares Core MSCI Emerging Markets ETF,"$155,883,000.00","13,383,397"
VGT,Vanguard Information Technology ETF,"$146,657,000.00","4,940,626"
AGG,iShares Core U.S. Aggregate Bond ETF,"$137,987,000.00","8,511,953"
GLD,SPDR Gold Shares,"$137,185,000.00","7,133,827"
IWF,iShares Russell 1000 Growth ETF,"$127,022,000.00","5,118,413"
IJH,iShares Core S&P Mid-Cap ETF,"$125,812,000.00","7,132,569"
VWO,Vanguard FTSE Emerging Markets ETF,"$124,947,000.00","8,440,643"
XLK,State Street Technology Select Sector SPDR ETF,"$121,709,000.00","12,124,737"
VIG,Vanguard Dividend Appreciation ETF,"$113,952,000.00","1,111,733"
IJR,iShares Core S&P Small-Cap ETF,"$112,449,000.00","3,797,869"
VO,Vanguard Morningstar Mid-Cap ETF,"$108,202,000.00","3,029,962"
SCHD,Schwab US Dividend Equity ETF,"$105,290,000.00","21,435,350"
QQQM,Invesco NASDAQ 100 ETF,"$101,984,000.00","4,099,711"
SGOV,iShares 0-3 Month Treasury Bond ETF,"$100,911,000.00","20,547,207"
RSP,Invesco S&P 500® Equal Weight ETF,"$98,528,000.00","9,765,531"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$97,325,600.00","1,852,063"
IWD,iShares Russell 1000 Value ETF,"$83,482,700.00","2,143,798"
VYM,Vanguard High Dividend Yield Index ETF,"$83,454,600.00","1,276,331"
BNDX,Vanguard Total International Bond ETF,"$83,110,000.00","4,744,094"
VB,Vanguard Morningstar Small-Cap ETF,"$82,305,700.00","559,595"
IWM,iShares Russell 2000 ETF,"$81,493,300.00","25,324,402"
VT,Vanguard Total World Stock ETF,"$80,773,200.00","3,107,678"
EFA,iShares MSCI EAFE ETF,"$79,324,100.00","13,063,584"
IVW,iShares S&P 500 Growth ETF,"$77,163,600.00","2,177,708"
SCHX,Schwab U.S. Large-Cap ETF,"$74,142,000.00","12,466,721"
SMH,VanEck Semiconductor ETF,"$70,252,100.00","11,958,930"
VEU,Vanguard FTSE All-World ex-US Index Fund,"$69,744,300.00","2,690,492"
SCHF,Schwab International Equity ETF,"$68,311,100.00","7,776,456"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$67,847,600.00","8,712,029"
SCHG,Schwab U.S. Large-Cap Growth ETF,"$62,336,900.00","9,906,641"
IAU,iShares Gold Trust,"$62,077,700.00","6,029,999"
IXUS,iShares Core MSCI Total International Stock ETF,"$59,870,300.00","1,824,359"
